                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.997,                 3.3432,                 2.0744,                0.00306,                0.91667,                0.04189,                0.01219,                      0,                    inf,                      0,                 0.0982,                 0.0002,                 0.0002
                      1,                 1.7476,                 3.1986,                  1.854,                0.00278,                0.83333,                0.03951,                0.01244,                      0,                    inf,                      0,               0.095495,             0.00049505,             0.00049505
                      2,                  1.936,                 3.3323,                  1.932,                0.00306,                0.91667,                0.03885,                0.01327,                      0,                    inf,                      0,               0.092784,             0.00078416,             0.00078416
                      3,                 1.5185,                 3.2253,                 1.7481,                0.00333,                      1,                  0.053,                0.02555,                      0,                    inf,                      0,               0.090067,              0.0010673,              0.0010673
                      4,                 1.3889,                 2.9759,                  1.721,                0.00333,                      1,                0.11718,                0.07156,                      0,                    inf,                      0,               0.087345,              0.0013446,              0.0013446
                      5,                 1.2735,                 2.9164,                 1.5989,                0.00333,                      1,                0.17834,                0.12149,                      0,                    inf,                      0,               0.084616,              0.0016158,              0.0016158
                      6,                 1.4643,                 3.0539,                 1.6765,                0.00333,                      1,                0.19603,                0.12481,                      0,                    inf,                      0,               0.081881,              0.0018812,              0.0018812
                      7,                 1.3466,                 3.0101,                 1.5531,                0.00306,                0.91667,                0.22738,                0.17059,                      0,                    inf,                      0,               0.079141,              0.0021406,              0.0021406
                      8,                 1.2838,                 2.8676,                 1.5564,                0.00333,                      1,                0.33405,                0.23157,                      0,                    inf,                      0,               0.076394,              0.0023941,              0.0023941
                      9,                 1.2452,                 2.8446,                 1.5037,                0.00333,                      1,                0.43094,                0.28823,                      0,                    inf,                      0,               0.073642,              0.0026416,              0.0026416
                     10,                 1.3013,                 2.8044,                 1.5328,                0.00333,                      1,                0.32995,                0.24517,                      0,                    inf,                      0,               0.070883,              0.0028832,              0.0028832
                     11,                 1.2549,                 2.8152,                 1.4934,                0.00333,                      1,                0.35503,                0.26281,                      0,                    inf,                      0,               0.068119,              0.0031189,              0.0031189
                     12,                 1.3197,                 2.5601,                 1.5063,                0.00333,                      1,                0.30853,                0.22077,                      0,                    inf,                      0,               0.065349,              0.0033486,              0.0033486
                     13,                 1.2002,                 2.3606,                 1.4726,                0.00747,                      1,                0.40105,                0.28619,                      0,                    inf,                      0,               0.062572,              0.0035723,              0.0035723
